,mtkid,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function.,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,HarmVirtue,HarmVice,FairnessVirtue,FairnessVice,IngroupVirtue,IngroupVice,AuthorityVirtue,AuthorityVice,PurityVirtue,PurityVice,anger_nrc,anticipation_nrc,disgust_nrc,fear_nrc,joy_nrc,negative_nrc,positive_nrc,sadness_nrc,surprise_nrc,trust_nrc
0,aA1VBZWAHU11,30097,50.94,89.27,16.41,18.74,30097,17.15,83.29,49.67,16.15,10.31,1.77,0.61,5.79,1.54,0.59,5.81,5.55,11.27,9.28,4.81,4.89,2.31,17.03,4.33,1.91,2.14,1.28,1.58,7.87,3.64,4.12,0.38,2.21,0.53,14.35,0.31,0.4,0.75,1.71,10.09,1.94,1.7,1.45,2.2,1.4,2.8,3.05,1.47,1.16,0.37,2.08,0.67,0.85,0.24,0.27,8.07,1.88,1.23,3.68,1.14,0.89,2.66,12.58,1.12,11.61,1.56,5.82,4.39,2.8,0.92,0.28,0.89,0.46,0.19,3.06,1.46,1.17,0.2,0.36,0.02,0,0,0,0,0,0,0,0,0,0,0,0.09,0.16,0.04,0.01,0.16,0.08,0.16,0.05,0.06,0.02,0.0261479168051033,0.0248521496444946,0.0239550800717656,0.0287394511263207,0.0174762442687222,0.0638580636587149,0.0443551066516048,0.0253172968303542,0.0181407402485215,0.0351518373313841
1,aA3CXK1KSU11,22,93.26,32.48,31.94,94.75,22,4.55,77.27,36.36,13.64,4.55,4.55,0.0,0.0,0.0,0.0,9.09,9.09,9.09,4.55,0.0,0.0,0.0,13.64,4.55,0.0,4.55,0.0,0.0,13.64,9.09,4.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.55,0.0,0.0,0.0,4.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.09,0.0,4.55,4.55,9.09,0.0,4.55,9.09,0.0,13.64,4.55,4.55,4.55,4.55,0.0,4.55,0.0,0.0,0.0,4.55,0.0,4.55,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0454545454545455,0.0454545454545455,0.0
2,aA2AI4HOWU11,34401,64.15,74.85,17.97,43.34,34401,16.57,82.43,49.25,13.46,7.94,1.58,0.6,2.24,2.44,1.07,5.51,6.67,12.32,9.36,5.33,4.32,2.4,17.6,4.53,2.17,1.74,2.22,2.17,6.52,3.71,2.74,0.31,1.25,0.41,11.64,0.24,0.27,0.62,2.27,11.79,2.29,1.62,1.97,2.84,1.52,3.26,2.45,1.08,0.87,0.41,1.46,0.53,0.28,0.23,0.38,7.99,1.79,1.6,3.34,1.78,0.66,3.57,11.58,1.55,12.78,1.98,6.0,4.98,2.71,1.33,0.31,1.03,0.23,0.19,1.99,0.55,0.76,0.39,0.35,0.01,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.07,0.06,0.08,0.03,0.19,0.04,0.03,0.02,0.0211566405114792,0.0284510316768381,0.0151700087183958,0.0208660273176402,0.0198488811392037,0.0415867480383609,0.0468468468468468,0.0175820982272595,0.0161871548968323,0.0349898285382156
3,aA3VKJDDUU11,6599,76.07,74.42,29.28,64.27,6599,15.31,80.1,44.43,12.58,8.29,2.99,0.53,3.06,1.3,0.41,4.26,6.49,12.03,7.3,4.67,3.71,1.29,15.24,5.99,2.26,0.95,1.95,1.71,8.29,5.14,3.11,0.2,1.7,0.39,10.93,0.71,0.55,0.58,1.86,8.23,1.41,0.91,1.23,2.23,1.27,2.14,3.83,1.74,0.95,0.89,3.52,1.36,0.76,0.83,0.56,8.59,2.52,1.45,3.15,2.26,0.52,3.08,10.55,1.32,13.73,1.62,7.2,5.15,1.85,1.92,0.2,0.59,0.47,0.27,3.7,1.55,1.33,0.27,0.18,0.02,0,0,0,0,0,0,0,0,0,0,0,0.15,0.27,0.02,0.0,0.03,0.0,0.23,0.02,0.03,0.03,0.0253068646764661,0.0297014699196848,0.0148507349598424,0.0193968783148962,0.0280345506894984,0.0400060615244734,0.0540991059251402,0.0157599636308532,0.0139415062888316,0.0354599181694196
4,aA1HJAT4AU11,7793,85.17,68.43,44.95,71.11,7793,16.08,80.39,46.26,10.2,6.58,3.03,0.54,1.9,0.63,0.49,3.62,7.39,14.13,7.49,4.35,4.35,1.46,14.9,5.92,1.92,1.18,2.72,1.89,6.48,4.41,2.0,0.15,0.86,0.44,9.11,0.26,0.71,0.47,0.62,8.42,1.73,1.44,1.22,1.73,1.35,1.99,2.64,1.32,0.86,0.35,2.36,0.3,1.1,0.23,0.47,7.33,1.81,1.0,2.68,2.12,0.62,2.37,11.75,0.77,15.33,1.5,7.83,6.12,2.13,2.66,0.35,1.1,0.76,0.18,1.69,0.27,1.04,0.24,0.14,0.03,0,0,0,0,0,0,0,0,0,0,0,0.08,0.12,0.05,0.03,0.15,0.01,0.06,0.0,0.06,0.03,0.0153984344924933,0.0220710894392403,0.00949570127037085,0.0137302707558065,0.0236109328884897,0.0282304632362376,0.0395226485307327,0.0123187475939946,0.0115488258693699,0.0265622994995509
5,aA49WTQG4U11,58654,71.46,66.37,30.18,56.73,58654,20.12,80.07,46.32,10.99,5.48,1.43,0.71,1.39,0.93,1.03,5.5,5.94,12.89,8.89,4.88,5.09,2.0,16.14,5.17,2.67,1.45,1.61,2.3,6.82,4.21,2.57,0.34,0.9,0.42,9.21,0.2,0.2,0.37,1.02,11.81,1.97,1.99,1.96,2.64,1.62,3.38,2.12,1.06,0.63,0.35,1.31,0.26,0.58,0.23,0.25,7.41,1.62,1.57,2.89,1.68,0.73,2.9,11.39,1.58,13.99,2.25,7.21,4.66,3.18,1.25,0.16,0.91,0.28,0.36,1.79,0.27,0.48,0.28,0.24,0.04,0,0,0,0,0,0,0,0,0,0,0,0.14,0.16,0.05,0.01,0.09,0.01,0.15,0.04,0.05,0.01,0.0182407091714968,0.0277361063757245,0.0132458233890215,0.0217865666553017,0.0199113535629049,0.0375213092396863,0.04945448346403,0.0182918513467439,0.0148141834299352,0.0310092055915445
6,aA2QJ22AYU11,30876,93.26,79.04,55.88,98.78,30876,18.02,76.34,38.64,9.18,5.53,1.94,0.37,2.91,0.16,0.16,3.65,4.57,15.85,4.41,3.16,2.96,0.7,11.72,5.88,1.31,1.42,4.31,1.12,7.53,6.65,0.82,0.21,0.22,0.2,8.39,0.93,0.52,0.53,0.22,7.17,1.86,1.92,0.86,1.09,1.03,0.91,2.93,1.09,0.31,0.83,4.17,0.47,0.8,0.11,2.63,7.88,2.66,2.08,2.24,2.59,0.22,1.83,8.81,0.81,18.2,2.06,9.58,6.74,2.09,3.82,0.87,1.49,0.4,0.08,1.24,0.04,0.6,0.51,0.06,0.01,0,0,0,0,0,0,0,0,0,0,0,0.1,0.05,0.02,0.0,0.29,0.0,0.17,0.0,0.02,0.01,0.00793496566912812,0.0482899339292654,0.0050848555512372105,0.0100725482575463,0.0529213628708382,0.0176512501619381,0.0788962300816168,0.0072224381396554,0.0194325689856199,0.0368894934577018
7,aA1AZTE5WU11,5886,98.35,72.05,25.09,56.58,5886,26.98,61.25,30.97,4.71,2.6,0.54,0.9,0.7,0.25,0.2,2.11,6.93,13.66,2.85,1.7,1.82,0.36,6.74,3.92,1.17,0.54,4.35,1.17,3.57,2.58,0.95,0.1,0.39,0.27,6.2,1.14,0.15,0.53,1.22,4.28,1.14,0.87,0.42,0.87,0.61,0.71,2.33,1.77,0.32,0.17,1.21,0.2,0.29,0.36,0.32,6.07,2.16,1.12,2.51,0.63,0.24,1.65,4.81,0.44,15.26,1.36,8.09,5.84,2.97,2.19,0.61,0.75,0.31,0.63,1.07,0.34,0.78,0.15,0.05,0.0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0.0,0.0,0.31,0.0,0.17,0.0,0.15,0.0,0.0118986911439742,0.0278769335373109,0.007989121196668371,0.0166581676015638,0.0202277749447561,0.0271970083290838,0.0504844467108618,0.0152983171851096,0.01053884072752,0.0341662417134115
8,aA2SKQU23U11,34165,44.78,63.02,56.29,83.07,34165,14.59,84.74,50.88,16.4,11.37,6.01,0.7,3.37,0.68,0.6,5.02,4.89,11.73,8.35,6.34,6.4,1.93,16.73,4.96,2.19,2.17,1.87,2.02,7.41,5.27,2.06,0.3,0.57,0.49,10.54,0.41,0.54,0.51,0.82,10.89,1.76,1.9,1.68,2.17,1.64,2.93,3.57,1.58,1.05,0.68,2.62,0.89,0.81,0.1,0.44,7.61,2.76,1.37,2.1,1.99,0.4,2.83,12.06,1.54,13.62,2.06,5.58,6.09,1.48,1.69,0.2,0.73,0.4,0.12,3.04,0.43,2.05,0.29,0.23,0.04,0,0,0,0,0,0,0,0,0,0,0,0.08,0.11,0.01,0.06,0.14,0.01,0.09,0.01,0.03,0.01,0.0143133122585177,0.0313195176208875,0.0112399016508606,0.0151328884205597,0.032461070132303,0.0279241306638567,0.0541212972719822,0.0154255941927175,0.0164793349724857,0.0302365062639035
9,aA1B14CS9U11,43351,98.41,67.77,30.66,99.0,43351,17.46,74.52,39.04,7.31,5.17,2.43,0.96,1.64,0.06,0.09,2.14,8.28,16.41,2.72,3.23,1.88,0.18,10.83,3.94,0.8,0.23,3.82,0.81,10.03,9.71,0.3,0.05,0.12,0.07,5.13,0.13,0.24,0.1,0.13,5.25,0.62,0.6,0.62,2.82,0.51,0.48,1.94,0.98,0.27,0.35,1.73,0.51,0.22,0.05,0.88,10.85,2.3,6.64,5.88,6.82,0.04,2.29,8.18,0.32,15.12,6.21,5.23,3.67,1.13,2.82,1.11,1.4,0.18,0.09,0.66,0.01,0.39,0.19,0.04,0.0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.01,0.01,0.0,0.09,0.0,0.04,0.0,0.02,0.0,0.007082708501557271,0.0325758449648172,0.00276848540777483,0.00752105202445495,0.0317452993424847,0.0149498212019841,0.0572153650940131,0.006898142807705621,0.0434421501903334,0.0212019840812089
10,aA36PJP7KU11,33608,50.59,63.51,55.76,67.23,33608,14.9,86.37,50.2,16.96,11.81,6.38,0.72,2.98,0.89,0.85,5.15,5.06,11.95,8.75,4.72,5.01,2.31,17.99,4.35,1.84,1.72,1.73,1.82,7.09,4.6,2.41,0.32,1.0,0.46,12.04,0.76,0.52,1.06,1.05,11.65,2.11,1.5,2.34,2.75,1.64,2.87,3.3,1.66,0.83,0.67,3.13,1.16,0.94,0.28,0.6,7.99,2.81,1.43,2.61,1.7,0.49,3.1,13.11,1.51,13.73,2.19,6.03,5.67,1.67,1.71,0.39,0.79,0.4,0.28,2.93,0.73,1.74,0.19,0.13,0.04,0,0,0,0,0,0,0,0,0,0,0,0.1,0.14,0.02,0.01,0.16,0.01,0.17,0.02,0.04,0.01,0.0188583836521015,0.0303102412326363,0.0129688568963979,0.0204646182218388,0.0287932419167733,0.0360212974805913,0.0511318004699723,0.0199292066985931,0.0137422290966418,0.0320652012254975
11,aA2JPUXT8U11,36281,38.64,36.75,67.08,32.0,36281,14.39,87.16,50.82,16.75,11.43,7.61,0.27,2.56,0.47,0.53,5.31,4.76,11.02,9.36,6.5,5.91,2.24,18.91,4.62,2.07,1.7,1.65,1.9,8.02,4.16,3.8,0.27,2.25,0.53,8.87,0.48,0.47,0.61,0.77,11.89,1.98,1.89,2.0,2.52,1.65,3.07,2.85,1.23,0.64,0.8,4.01,1.64,0.78,0.77,0.73,6.73,1.54,1.47,1.98,1.94,0.47,3.27,13.89,1.49,13.45,2.04,5.79,5.79,2.11,1.53,0.38,0.8,0.33,0.32,4.62,2.15,1.79,0.45,0.28,0.06,0,0,0,0,0,0,0,0,0,0,0,0.05,0.12,0.02,0.0,0.08,0.0,0.23,0.01,0.09,0.04,0.0210479916248829,0.0285966168934928,0.0178522232629897,0.0185685161716899,0.025263099895311003,0.0409388947049424,0.0461457931566477,0.0187338145352361,0.0133616177199846,0.0279905228938234
12,aA8YVGN8FU11,3010,89.15,72.83,57.02,85.57,3010,17.31,75.61,41.86,9.1,4.92,1.3,1.23,1.3,0.7,0.4,4.19,5.42,14.92,6.78,3.82,2.72,1.56,13.59,4.58,1.96,1.33,4.52,2.33,5.25,4.32,0.9,0.17,0.33,0.27,8.94,0.07,0.5,0.13,1.43,7.74,1.43,1.2,0.7,1.3,1.43,2.39,2.76,1.79,0.53,0.37,0.93,0.43,0.43,0.07,0.07,10.8,4.12,3.16,3.69,2.76,0.3,2.52,9.93,1.86,18.34,2.19,8.87,7.91,2.72,3.72,0.2,0.63,0.13,0.07,1.16,0.13,0.7,0.1,0.23,0.0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.0,0.0,0.0,0.1,0.0,0.07,0.03,0.0,0.0,0.0119561607439389,0.0358684822318167,0.00597808037196945,0.0136167386250415,0.0252407837927599,0.0239123214878778,0.0554633012288276,0.0122882763201594,0.0136167386250415,0.0368648289604782
13,aA4CPMNA1U11,17056,53.47,65.09,52.32,60.9,17056,15.99,87.63,53.66,16.1,11.03,5.52,0.57,2.86,1.24,0.84,5.07,6.63,12.42,9.38,5.58,5.74,1.99,17.31,4.11,2.1,1.58,1.65,1.95,5.79,3.79,1.93,0.32,0.38,0.53,11.3,0.73,0.35,1.21,1.15,12.04,2.25,1.75,2.05,2.7,1.79,3.31,2.84,1.06,0.97,0.64,2.59,0.67,0.9,0.11,0.77,7.06,2.01,1.44,2.4,1.58,0.53,3.47,12.04,1.51,13.56,1.97,6.15,5.63,2.6,1.37,0.57,0.76,0.69,0.23,0.89,0.04,0.32,0.31,0.19,0.0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.09,0.05,0.01,0.16,0.02,0.16,0.01,0.09,0.02,0.0127198124267292,0.0284290738569754,0.0108440797186401,0.0172332942555686,0.0254396248534584,0.0297186400937866,0.05,0.016588511137163,0.0128370457209848,0.0314185228604924
14,aA3HTLXAPU11,35812,52.59,67.2,30.46,77.05,35812,14.34,84.55,50.34,15.66,10.31,4.59,0.61,2.31,1.94,0.86,5.34,6.74,10.75,9.46,5.67,4.47,2.27,18.12,4.95,1.91,1.33,1.37,2.04,8.33,5.51,2.73,0.28,1.09,0.54,11.73,0.4,0.4,0.54,2.21,11.32,2.14,1.57,1.78,2.41,1.97,2.82,2.84,1.3,0.84,0.53,2.28,0.69,0.46,0.28,0.61,8.48,2.75,1.87,2.69,2.14,0.46,3.57,12.55,1.31,12.1,1.85,5.41,5.08,1.69,2.24,0.28,0.74,0.32,0.18,1.9,0.52,0.7,0.36,0.29,0.03,0,0,0,0,0,0,0,0,0,0,0,0.11,0.1,0.03,0.01,0.15,0.0,0.13,0.02,0.05,0.04,0.0167736533631035,0.0321239185040469,0.0143176109405526,0.0189785096288027,0.0331007535584706,0.0337426737370918,0.056516885291655,0.0182249511582473,0.0159642757465811,0.033435668434273
15,aA1PIGZNLU11,27864,93.9,99.0,29.33,32.23,27864,17.18,77.71,52.39,12.32,11.51,0.97,0.09,10.41,0.03,0.02,0.8,1.89,24.8,10.9,0.83,1.33,0.58,23.17,2.42,0.37,0.15,1.64,0.46,1.64,0.92,0.55,0.01,0.16,0.22,22.14,0.14,0.03,0.01,0.06,3.37,0.09,1.18,0.33,0.7,0.9,0.38,11.5,0.21,10.67,0.62,1.91,1.29,0.53,0.01,0.67,1.4,0.18,0.17,0.53,0.53,0.06,10.57,12.53,0.43,16.66,0.45,13.95,2.44,1.56,0.6,0.41,0.37,0.03,0.33,0.57,0.03,0.52,0.02,0.01,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.12,0.0,0.0,0.01,0.0,0.01,0.0,0.08,0.0,0.00610106230261269,0.0146425495262705,0.00854148722365777,0.0189491817398794,0.0155397645707723,0.0266652311225955,0.0201335055986219,0.018267298306058,0.00972581108240023,0.013458225667528
