"Timestamp","Please.indicate..in.the.box.below..that.you.are.at.least.18.years.old..have.read.and.understand.this.consent.form..and.you.agree.to.participate.in.this.online.research.study.","MFQ1","MFQ2","MFQ3","MFQ4","MFQ5","MFQ6","MFQ7","MFQ8","MFQ9","MFQ10","MFQ11","MFQ12","MFQ13","MFQ14","MFQ15","MFQ16","MFQ17","MFQ18","MFQ19","MFQ20","MFQ21","MFQ22","MFQ23","MFQ24","MFQ25","MFQ26","MFQ27","MFQ28","MFQ29","MFQ30","MFQ31","MFQ32","ICS1","ICS2","ICS3","ICS4","ICS5","ICS6","ICS7","ICS8","ICS9","ICS10","What.is.your.age..in.years..","What.is.your.sex.","Do.you.have.an.active.Twitter.account.","How.often.do.you.use.or.browse.Twitter.using.your.account...approximately.","Approximately.how.many.followers.do.you.have.","If.you.do.have.a.Twitter.account..to.what.degree.do.you.use.Twitter.to.post.or.retweet.about.political..social..or.economic.issues.that.are.important.to.you..Please.skip.this.question.if.you.do.not.have.an.active.Twitter.account.","If.you.do.have.a.Twitter.account..is.your.account.public.or.private..","Twitter.username..the.exact.name.that.comes.after.....on.your.twitter.profile..","Worker.ID","Probably_fake","response_ID","Harm","Fairness","Loyalty","Authority","Purity","ICS_score"
"4/14/19 15:02","I agree to participate",4,4,0,3,3,0,5,5,4,2,0,5,5,4,3,0,3,4,1,3,2,5,4,4,3,2,2,5,1,3,3,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,25,"Male","No","less than once per week","",1,"Private","","1234","",1,26,23,15,16,7,-8
"4/24/19 14:43","I agree to participate.",3,4,0,2,2,0,2,3,4,1,2,5,5,4,2,0,5,5,3,3,3,5,5,5,4,4,4,2,2,5,4,2,1,-1,1,1,1,-1,-1,-1,1,-1,37,"Male","No","N/A ( I do not have a Twitter account)","I do not wish to disclose this information.",1,"N/A (I do not have a Twitter account)","","A2WWYVKGZZXBOB","",3,22,24,20,16,13,0
"4/24/19 14:43","I agree to participate.",2,0,0,0,0,0,0,3,1,0,0,1,3,2,0,0,0,5,3,0,0,3,0,5,0,5,0,0,0,0,0,3,1,1,1,1,1,1,-1,1,1,-1,35,"Male","Yes","four to five times per day or more","I do not wish to disclose this information.",6,"Public","","A1CTUG0RUGCY48","",4,3,16,6,5,3,6
"4/24/19 14:44","I agree to participate.",5,5,0,3,0,0,5,4,0,0,5,5,5,0,2,0,5,5,0,2,0,5,5,1,0,0,0,4,3,0,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,40,"Female","Yes","two to three times per day","100 to 200",2,"Private","","ADMTBAW0O1I30","",5,29,23,0,8,5,-8
"4/24/19 14:45","I agree to participate.",3,1,4,2,0,5,2,1,4,2,3,1,5,3,2,4,2,4,1,4,5,2,1,4,4,1,4,2,1,4,2,1,-1,1,-1,-1,1,1,-1,1,-1,1,23,"Female","No","two to three times per week","200 to 300",5,"Public","damnitmikki","A2QMHQXR8K4VJ2","",6,11,16,20,13,17,0
"4/24/19 14:45","I agree to participate.",4,3,1,1,5,0,4,2,3,4,4,5,5,3,3,0,2,3,5,4,5,2,4,3,3,5,2,3,0,3,3,4,-1,-1,1,1,1,1,-1,-1,1,1,23,"Female","No","N/A ( I do not have a Twitter account)","I do not wish to disclose this information.",NA,"N/A (I do not have a Twitter account)","","AGLY8XF1SIZSV","",7,22,16,18,20,20,2
"4/24/19 14:45","I agree to participate.",4,4,0,0,0,0,5,5,1,0,1,5,5,1,1,0,5,5,0,0,0,5,4,0,1,1,0,3,5,1,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,26,"Male","Yes","At least once a day","less than 100",5,"Private","","A2I960JYUZ8KAV","",8,26,24,4,2,2,-8
"4/24/19 14:45","I agree to participate.",5,4,4,4,4,0,3,4,3,3,4,5,4,4,4,4,5,3,4,5,5,5,4,5,2,2,5,4,1,2,5,3,1,1,1,1,1,-1,-1,-1,-1,-1,60,"Female","Yes","four to five times per week","100 to 200",3,"Public","Widow Lester","AFN5VMMGYPF1I","",9,26,21,19,23,25,0
"4/24/19 14:45","I agree to participate.",3,4,1,3,4,0,2,4,2,1,4,4,5,3,3,1,4,5,4,3,4,5,5,5,3,4,4,1,1,1,3,4,1,1,1,1,1,1,1,-1,1,-1,55,"Female","Yes","two to three times per week","200 to 300",5,"Public","","A19L8SNH73AX1Z","",10,19,24,14,17,21,6
"4/24/19 14:45","I agree to participate.",2,3,1,3,4,0,2,3,2,2,4,4,3,2,4,1,3,4,4,4,5,5,5,3,2,3,4,2,1,1,4,1,1,-1,1,1,1,1,1,1,-1,1,45,"Male","Yes","four to five times per day or more","less than 100",3,"Public","kaplan175","A3L0DCUXI7X3A9","",11,18,17,12,20,19,6
"4/24/19 14:45","I agree to participate.",5,4,1,1,1,0,4,5,3,0,1,5,3,2,1,1,4,4,1,2,1,5,3,1,1,0,1,1,1,0,2,1,1,-1,-1,-1,-1,1,-1,1,1,-1,45,"Female","Yes","two to three times per week","100 to 200",1,"Private","","A1SDMC8XFKJTEN","",12,22,18,8,6,6,-2
"4/24/19 14:46","I agree to participate.",4,5,1,4,5,0,2,5,3,4,5,5,5,5,5,5,5,5,3,5,5,5,5,5,3,5,3,5,0,4,1,5,-1,1,-1,1,-1,-1,-1,1,1,1,25,"Male","Yes","four to five times per day or more","more than 1000",3,"Public","","A36CQIFWEDEECU","",13,26,25,19,24,28,0
"4/24/19 14:46","I agree to participate.",3,2,1,1,2,0,3,2,1,0,2,3,4,1,3,0,4,5,3,3,1,5,4,2,0,3,3,2,0,2,2,1,-1,1,1,-1,1,-1,-1,-1,-1,-1,37,"Male","Yes","four to five times per day or more","100 to 200",3,"Private","","A18UCBCCBKS6NY","",14,19,15,8,12,9,-4
"4/24/19 14:46","I agree to participate.",3,5,5,0,0,0,5,5,4,2,0,5,5,5,5,0,5,5,5,2,1,5,3,4,3,5,0,0,0,2,1,2,1,1,1,1,1,1,1,1,1,-1,26,"Male","Yes","four to five times per day or more","less than 100",7,"Public","EvilRussianBot","A3I40B0FATY8VH","",15,21,24,24,15,3,8
