mtkid,Harm,Fairness,Loyalty,Authority,Purity,ICS_score,Political Involvement
A3L0DCUXI7X3A9,18,17,12,20,19,6,3
A3I40B0FATY8VH,21,24,24,15,3,8,7
A2MCRVU8I9VNHG,17,22,11,16,22,8,4
A1PJUYJ7W2LKKQ,24,24,10,17,9,-4,5
A1KZ21TSAYUHO4,25,29,16,19,29,4,2
A2UO3QJZNC2VOE,17,9,15,17,9,8,3
A1B2V27QSGPT6W,13,24,0,1,7,-10,4
A22KRF782ELLB0,27,29,6,3,0,-10,2
A19ZWBQT8A3LIR,12,26,9,3,0,-10,5
A2USG66RL7MM4E,24,25,13,12,2,-8,4
AASQHRMEAPCHZ,28,26,19,21,16,-6,1
A1879O6JNJ6ZIY,21,18,15,22,23,4,1
A34TVS5NMPO3O2,21,19,23,22,19,6,2
A2FARB7LA24AU8,25,25,14,19,2,-10,5
A5P78B8P70TOJ,25,25,18,23,28,-4,3
A1VAL7L9L79IN0,29,28,18,8,5,-10,6
A3L2VS3998R77L,28,23,16,18,15,-8,6
A37W0GRXSM04LX,26,22,14,16,13,-10,6
AT60ESWGVSAG9,21,21,18,20,21,-4,3
A1MIBEGF81ZLUS,19,28,10,9,17,-10,5
A2RCYLKY072XXO,10,25,3,2,0,-8,2
A3UE7W812DYAK0,27,22,9,13,9,-6,3
A1P8K83P1987GB,29,26,7,10,2,-10,2
A2WZGCFPJ8EEQW,25,28,20,21,19,-4,1
A3VUGKV2AX1Z2,26,23,7,10,0,-8,4
A2AI4HOWRCG7KZ,23,24,13,17,13,-8,6
A1EOPEG6RHXO1V,28,22,14,15,10,-8,2
A3PV30J81HD2RU,29,29,10,20,18,-10,5
A1BAEFJ2OG7NJ0,23,25,14,17,8,-10,7
A2S6QOCFC3EAYH,28,25,8,17,23,-4,2
A37LQHDHZLKVCH,24,25,15,19,20,-10,5
A26N7JWACRX7BW,29,28,2,0,3,-10,5
A15K0L6NGQXOM0,27,28,17,21,22,-6,5
A3A07QA5U733HQ,14,20,12,19,11,-10,2
A3L4JI1S352HB8,15,19,17,23,9,8,3
A2I8YALVTOJN49,19,21,3,11,0,-10,2
AJJN3YJZ4H61K,28,24,20,22,19,-6,1
A375OH1S7FO7L8,24,19,18,25,23,8,6
A7P3R1AIA4TVV,20,26,9,13,8,-10,5
A1PUHCEBSOWETV,17,21,13,14,9,4,2
AX1THMSZH9Y80,29,27,26,23,29,10,5
