handle,mtkid,listed_status,real_status,follower_range,actual_followers,isReal,tweet_count
kaplan175,A3L0DCUXI7X3A9,Public,Public,0|100,1,True,2
EvilRussianBot,A3I40B0FATY8VH,Public,Public,0|100,37,True,1833
CtheFrood,A2MCRVU8I9VNHG,Public,Public,0|100,8,True,129
thom1nDun,A1PJUYJ7W2LKKQ,Public,Public,0|100,88,True,1870
bigearnhardtfan,A1KZ21TSAYUHO4,Public,Public,0|100,19,True,237
Jebwhitley,A2UO3QJZNC2VOE,Public,Public,0|100,43,True,5781
cocainequiches,A1B2V27QSGPT6W,Public,Public,400|500,475,True,24094
enden_zwei,A22KRF782ELLB0,Public,Public,0|100,3,True,7
jeremyburch,A19ZWBQT8A3LIR,Public,Public,0|100,50,True,44
fufufu101010,A2USG66RL7MM4E,Private,Public,0|100,0,True,15
dcraftycottage,AASQHRMEAPCHZ,Public,Public,0|100,9,True,130
aharbican,A1879O6JNJ6ZIY,Public,Public,0|100,1,True,13
jondonson,A34TVS5NMPO3O2,Public,Public,100|200,11,True,137
LVNGD,A2FARB7LA24AU8,Public,Public,800|900,906,True,5711
chasingpeacocks,A5P78B8P70TOJ,Public,Public,500|600,584,True,713
Joselito_D,A1VAL7L9L79IN0,Public,Public,0|100,3,True,0
adirondack93,A3L2VS3998R77L,Public,Public,200|300,283,True,3593
g90opklnm,A37W0GRXSM04LX,Public,Public,1000|99999,3748,True,10146
Rubbed6,AT60ESWGVSAG9,Public,Public,100|200,101,True,3703
hannahnorem,A1MIBEGF81ZLUS,Public,Public,400|500,452,True,6261
POPFLYBALL,A2RCYLKY072XXO,Public,Public,0|100,34,True,394
cheapchris,A3UE7W812DYAK0,Public,Public,400|500,407,True,7996
90snerds,A1P8K83P1987GB,Public,Public,200|300,201,True,743
HinckleyAshley,A2WZGCFPJ8EEQW,Public,Public,0|100,4,True,453
alexisintexas,A3VUGKV2AX1Z2,Public,Public,100|200| 400|500,134,True,1855
AaronAjlen,A2AI4HOWRCG7KZ,Public,Public,0|100,88,True,5335
MelRootsNWrites,A1EOPEG6RHXO1V,Public,Public,600|700,612,True,3558
BrendaR44893685,A3PV30J81HD2RU,Public,Public,0|100,0,True,0
Covfefe3623,A1BAEFJ2OG7NJ0,Public,Public,1000|99999,3070,True,1146
wenco44,A2S6QOCFC3EAYH,Public,Public,0|100,13,True,329
rgrasmus,A37LQHDHZLKVCH,Public,Public,0|100,103,True,1178
hecknawman,A26N7JWACRX7BW,Public,Public,100|200,177,True,9159
LinnyEmG,A15K0L6NGQXOM0,Public,Public,600|700,643,True,2243
funinmyhair,A3A07QA5U733HQ,Public,Public,100|200,139,True,4435
princess_sssxox,A3L4JI1S352HB8,Public,Public,0|100,90,True,357
HollieAnnH,A2I8YALVTOJN49,Public,Public,0|100,60,True,486
thewritelist ,AJJN3YJZ4H61K,Public,Public,1000|99999,3304,True,37
xtinethewriter,A375OH1S7FO7L8,Public,Public,1000|99999,1225,True,1620
coreyspring,A7P3R1AIA4TVV,Public,Public,200|300,294,True,28833
DrRandomacts,A1PUHCEBSOWETV,Public,Public,0|100,6,True,169
ja321,AX1THMSZH9Y80,Private,Public,100|200,3,True,0
WhoDatJulieC,A1POAW2RQBTBXB,Public,Public,0|100,14,True,7
SanaBear69,A2TUAO3C3IZ1NE,Public,Public,0|100,2,True,29
MeemoMary,A3HTLXAPOBCVVO,Public,Public,600|700,621,True,9986
lzluvs2run,A377LTGWJKY2IW,Public,Public,0|100,55,True,646
AlvisBooks,A2QKNW8U6MP1YH,Public,Public,0|100,4,True,368
imkarmenclair,A3UMJK169791WJ,Public,Public,1000|99999,1312,True,280
alyciacz,A1XIJE772WYRNJ,Public,Public,1000|99999,3041,True,29956
glamkiller599,A2T1LNI80EPOQR,Public,Public,0|100,21,True,858
jbockenek,A12NO2MNOIREXA,Public,Public,0|100,39,True,447
surveywkfrmhome,A2W0PJEZDT6QPX,Public,Public,0|100| 1000|9999999,4,True,24
twistedwriter,A1G5NDG1VWVMJS,Public,Public,1000|99999,1451,True,2365
pc_tech_ohio,A2YCMT5BPA0AG9,Public,Public,0|100,2,True,9
danmaruschak,A2YE2I9DYV9OKW,Public,Public,0|100,92,True,837
craigtuttle3,A1JH50STB9BOB6,Public,Public,1000|99999,1309,True,16534
