handle,mtkid,listed_status,real_status,follower_range,actual_followers,isReal,tweet_count
kaplan175,A3L0DCUXI7X3A9,Public,Public,0|100,1,TRUE,2
EvilRussianBot,A3I40B0FATY8VH,Public,Public,0|100,37,TRUE,1867
CtheFrood,A2MCRVU8I9VNHG,Public,Public,0|100,8,TRUE,128
thom1nDun,A1PJUYJ7W2LKKQ,Public,Public,0|100,89,TRUE,1872
bigearnhardtfan,A1KZ21TSAYUHO4,Public,Public,0|100,19,TRUE,237
Jebwhitley,A2UO3QJZNC2VOE,Public,Public,0|100,43,TRUE,5802
cocainequiches,A1B2V27QSGPT6W,Public,Public,400|500,473,TRUE,24105
enden_zwei,A22KRF782ELLB0,Public,Public,0|100,3,TRUE,7
jeremyburch,A19ZWBQT8A3LIR,Public,Public,0|100,49,TRUE,44
fufufu101010,A2USG66RL7MM4E,Private,Public,0|100,0,TRUE,15
dcraftycottage,AASQHRMEAPCHZ,Public,Public,0|100,8,TRUE,139
aharbican,A1879O6JNJ6ZIY,Public,Public,0|100,1,TRUE,13
jondonson,A34TVS5NMPO3O2,Public,Public,100|200,11,TRUE,137
LVNGD,A2FARB7LA24AU8,Public,Public,800|900,924,TRUE,5712
chasingpeacocks,A5P78B8P70TOJ,Public,Public,500|600,583,TRUE,718
adirondack93,A3L2VS3998R77L,Public,Public,200|300,281,TRUE,3602
g90opklnm,A37W0GRXSM04LX,Public,Public,1000|999999,3750,TRUE,10208
Rubbed6,AT60ESWGVSAG9,Public,Public,100|200,101,TRUE,3712
hannahnorem,A1MIBEGF81ZLUS,Public,Public,400|500,454,TRUE,6276
POPFLYBALL,A2RCYLKY072XXO,Public,Public,0|100,35,TRUE,400
cheapchris,A3UE7W812DYAK0,Public,Public,400|500,406,TRUE,7995
90snerds,A1P8K83P1987GB,Public,Public,200|300,204,TRUE,755
HinckleyAshley,A2WZGCFPJ8EEQW,Public,Public,0|100,4,TRUE,505
AaronAjlen,A2AI4HOWRCG7KZ,Public,Public,0|100,87,TRUE,5401
MelRootsNWrites,A1EOPEG6RHXO1V,Public,Public,600|700,611,TRUE,3558
Covfefe3623,A1BAEFJ2OG7NJ0,Public,Public,1000|999999,3706,TRUE,1189
wenco44,A2S6QOCFC3EAYH,Public,Public,0|100,14,TRUE,329
rgrasmus,A37LQHDHZLKVCH,Public,Public,0|100,105,TRUE,1198
hecknawman,A26N7JWACRX7BW,Public,Public,100|200,180,TRUE,9298
LinnyEmG,A15K0L6NGQXOM0,Public,Public,600|700,648,TRUE,2259
funinmyhair,A3A07QA5U733HQ,Public,Public,100|200,139,TRUE,4435
princess_sssxox,A3L4JI1S352HB8,Public,Public,0|100,90,TRUE,356
HollieAnnH,A2I8YALVTOJN49,Public,Public,0|100,61,TRUE,486
thewritelist ,AJJN3YJZ4H61K,Public,Public,1000|999999,3294,TRUE,37
xtinethewriter,A375OH1S7FO7L8,Public,Public,1000|999999,1210,TRUE,1623
coreyspring,A7P3R1AIA4TVV,Public,Public,200|300,295,TRUE,28913
DrRandomacts,A1PUHCEBSOWETV,Public,Public,0|100,6,TRUE,169
WhoDatJulieC,A1POAW2RQBTBXB,Public,Public,0|100,14,TRUE,7
SanaBear69,A2TUAO3C3IZ1NE,Public,Public,0|100,2,TRUE,31
MeemoMary,A3HTLXAPOBCVVO,Public,Public,600|700,620,TRUE,10154
lzluvs2run,A377LTGWJKY2IW,Public,Public,0|100,55,TRUE,646
AlvisBooks,A2QKNW8U6MP1YH,Public,Public,0|100,4,TRUE,368
imkarmenclair,A3UMJK169791WJ,Public,Public,1000|999999,1452,TRUE,321
alyciacz,A1XIJE772WYRNJ,Public,Public,1000|999999,3037,TRUE,29976
glamkiller599,A2T1LNI80EPOQR,Public,Public,0|100,21,TRUE,858
jbockenek,A12NO2MNOIREXA,Public,Public,0|100,40,TRUE,449
twistedwriter,A1G5NDG1VWVMJS,Public,Public,1000|999999,1450,TRUE,2366
pc_tech_ohio,A2YCMT5BPA0AG9,Public,Public,0|100,2,TRUE,9
danmaruschak,A2YE2I9DYV9OKW,Public,Public,0|100,97,TRUE,853
craigtuttle3,A1JH50STB9BOB6,Public,Public,1000|999999,1302,TRUE,16758
acortez81,A2NBBQ3DKW5MV3,Public,Public,0|100,7,TRUE,253
antoni678,A3R98EUOF1B2M1,Public,Public,0|100,21,TRUE,199
fizzle406,A3J6V7EWSZK5TJ,Public,Public,0|100,39,TRUE,4100
Shannonedrie,A3PL4IJFVVRCPD,Public,Public,100|200,217,TRUE,4573
ElizabethEiler,A2GTYOM6QUGKOO,Public,Public,1000|999999,12533,TRUE,47312
samsammy817,A3MIF7YOVHUQIC,Public,Public,0|100,0,TRUE,1
ewmngolf,A1NXDNRUNL87XN,Public,Public,0|100,51,TRUE,767
C_James530,A2OX7JLY6741WG,Public,Public,200|300,232,TRUE,1459
Portiadominique,AH31QLJ57XC8W,Public,Public,300|400,422,TRUE,22282
xxadrianaaxx,A1QYTV4R5UWV4G,Public,Public,300|400,390,TRUE,21610
mooshie123,A49A0FF6ZXYDU,Private,Public,0|100,6,TRUE,9
rantan,AXTVX0Y7CYNQ3,Public,Public,100|200,165,TRUE,5030
shellylanette,AYNUK54JG6E2H,Public,Public,0|100,5,TRUE,10
860CAMP_RD,A1QEQOI98976S0,Public,Public,200|300,161,TRUE,2801
egveitikkje,A2ZPSPA0R8KSL8,Public,Public,200|300,189,TRUE,3723
Chriswillman90,A49WTQG4MBT9Z,Public,Public,500|600,558,TRUE,5376
goblue926,A362CV8OOYJA6W,Private,Public,0|100,0,TRUE,12
SaraBila14,A3O0ZQMDKOKAMR,Public,Public,0|100,4,TRUE,32
dlomane,A1VBZWAHLWQMXM,Public,Public,100|200,138,TRUE,8006
sproutsmommy14,A35DZ5AAKNOKQ8,Public,Public,1000|999999,1106,TRUE,18642
IanMMundell,A88DXNDGDUWEN,Public,Public,0|100,78,TRUE,1764
ZephyrTTV,A6MWJK1YEY5L2,Public,Public,100|200,63,TRUE,266
Deathwalker26,A37V2BNHM204M7,Public,Public,0|100,15,TRUE,158
gregtake,A2OJ5XOEKTKRR9,Public,Public,0|100,49,TRUE,758
AwesomeCardGame,A27Y4NEIQQH00M,Public,Public,500|600,502,TRUE,2401
laurenamorND,A22ALWFDK913C4,Public,Public,100|200,120,TRUE,377
StevieRayK,A3PSY76FRTWBBI,Public,Public,0|100,13,TRUE,251
JoeyMonaco720,A1OE4SD0GXFOUP,Public,Public,1000|999999,1007,TRUE,7440
puttlikejimbo,AW1QY7Q83DYCJ,Public,Public,0|100,0,TRUE,1
Alli813,A1Y7IIQ9A8B508,Private,Public,0|100,0,TRUE,2
rekenner,A3TOI40R1LPLNE,Public,Public,0|100,63,TRUE,650
Lissy1223,A1z2zgpjrgg0g3,Public,Public,0|100,9,TRUE,12
toddstawicki,A13LQZLDE9BUEH,Public,Public,0|100,10,TRUE,133
SameDamnThings,A3IDPT97BOSXGO,Public,Public,100|200,89,TRUE,282
reillymgrant,A377OG15Q3U35C,Public,Public,100|200,137,TRUE,207
jessidon05,APXNY64HXO08K,Private,Public,0|100,17,TRUE,264
Crankcase74,A32OQIKGNOPDKC,Public,Public,0|100,8,TRUE,457
jasonkmoore88,A11A83GK7BV037,Public,Public,0|100,82,TRUE,480
stephaniek1116,A2STXZFG083AAB,Public,Public,100|200,114,TRUE,6600
kmf818,A25AQVQ1NAY36D,Public,Public,0|100,62,TRUE,19718
MichLich33,AWAW665TQQP2F,Public,Public,0|100,12,TRUE,1
amdowls,A1MZAW73X090DS,Private,Public,0|100,152,TRUE,1261
Unlucky13The,AGBW9W637YQ6C,Public,Public,0|100,35,TRUE,159
radwackage,A14ADQ7RUN6TDY,Public,Public,0|100,51,TRUE,119
hogendaz85,A2XMFTY9WB05U6,Public,Public,0|100,2,TRUE,2
itsturk73,AWE9A4ZOP9LNU,Public,Public,0|100,22,TRUE,93
DanPacholek,AHGDYNKOKJWFJ,Public,Public,0|100,2,TRUE,2
KDurianski,A3IDBFPW2T9P5D,Public,Public,0|100,35,TRUE,333
CamilleMyers92,A24DDWABLZUX1H,Public,Public,0|100,12,TRUE,7
xBurtMcGirtx,A2R9OK4M877ZCC,Public,Public,700|800,673,TRUE,22026
jwolfe73,A14SXXOGFMEFM6,Public,Public,300|400,318,TRUE,2036
dream_in_static,A26A4HEBGP2MOX,Public,Public,200|300,275,TRUE,385
neffynurse,A28HB6T2S3GKVD,Public,Public,0|100,2,TRUE,348
PlugZXC,A1HYMGPYXU97ZN,Public,Public,0|100,99,TRUE,2197
oOJenniLeighOo,A1KET5Z038NMWD,Public,Public,300|400,324,TRUE,5195
chunky149,A1PBFDQR599N3K,Public,Public,0|100,4,TRUE,53
ISitStillShutUp,A3GUSBF7LGFWFT,Public,Public,1000|999999,4751,TRUE,5649
hollyberrie05,A2QJ22AYO30HXR,Public,Public,1000|999999,1553,TRUE,11623
mzglover68,A3P7XSX4AH6VRP,Public,Public,0|100,36,TRUE,2475
lstrite,A110ICG2VQUGXS,Public,Public,0|100,5,TRUE,4
tharandomshark,A38G96U9JZU3CW,Public,Public,600|700,634,TRUE,328
